Occurrence_ID,Work_ID,Source_Commit,Source_Line,Source_Section,Source_Subsection,Title_As_Listed,Primary_URL_As_Listed,Strong_Identifier,Repository_Date,Venue_Label,Taxonomy_Branch,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-O-0032,ACL26-W-BB5531AED203,7b3ba9deefe99172748582f6025d995ccc2a6f86,127,Latest Research Papers,,Value of Information: A Framework for Human-Agent Communication,https://arxiv.org/abs/2601.06407,arxiv:2601.06407,2026-01-10,arXiv 2026,,,,,,,,,,,
ACL26-O-0033,ACL26-W-E540ED94D93D,7b3ba9deefe99172748582f6025d995ccc2a6f86,129,Latest Research Papers,,Progressive Ideation using an Agentic AI Framework for Human-AI Co-Creation (MIDAS),https://arxiv.org/abs/2601.00475,arxiv:2601.00475,2026-01-01,arXiv 2026,,,,,,,,,,,
ACL26-O-0034,ACL26-W-E4BE92A91819,7b3ba9deefe99172748582f6025d995ccc2a6f86,131,Latest Research Papers,,CentaurEval: Benchmarking Human-in-the-Loop Value in Agentic Coding,https://arxiv.org/abs/2512.04111,arxiv:2512.04111,2025-11-30,arXiv 2025,,,,,,,,,,,
ACL26-O-0035,ACL26-W-D8C816D1E0C7,7b3ba9deefe99172748582f6025d995ccc2a6f86,133,Latest Research Papers,,Training Proactive and Personalized LLM Agents,https://arxiv.org/abs/2511.02208,arxiv:2511.02208,2025-11-04,arXiv 2025,,,,,,,,,,,
ACL26-O-0036,ACL26-W-6B375620F05B,7b3ba9deefe99172748582f6025d995ccc2a6f86,135,Latest Research Papers,,Training LLM Agents to Empower Humans,https://arxiv.org/abs/2510.13709,arxiv:2510.13709,2025-10-15,arXiv 2025,,,,,,,,,,,
ACL26-O-0037,ACL26-W-F29E6413F26C,7b3ba9deefe99172748582f6025d995ccc2a6f86,137,Latest Research Papers,,How can we assess human-agent interactions? Case studies in software agent design,https://arxiv.org/abs/2510.09801v2,arxiv:2510.09801,2025-10-10,arXiv 2025,,,,,,,,,,,
ACL26-O-0038,ACL26-W-F1BC34347FF2,7b3ba9deefe99172748582f6025d995ccc2a6f86,139,Latest Research Papers,,RECODE-H: A Benchmark for Research Code Development with Interactive Human Feedback,https://arxiv.org/abs/2510.06186,arxiv:2510.06186,2025-10-07,arXiv 2025,,,,,,,,,,,
ACL26-O-0039,ACL26-W-C7370A263994,7b3ba9deefe99172748582f6025d995ccc2a6f86,142,Latest Research Papers,,UserRL: Training Proactive User-Centric Agent via Reinforcement Learning,https://arxiv.org/abs/2509.19736,arxiv:2509.19736,2025-09-24,arXiv 2025,,,,,,,,,,,
ACL26-O-0040,ACL26-W-131C63C14258,7b3ba9deefe99172748582f6025d995ccc2a6f86,144,Latest Research Papers,,MUA-RL: Multi-turn User-interacting Agent Reinforcement Learning for agentic tool use,https://arxiv.org/abs/2508.18669,arxiv:2508.18669,2025-08-26,arXiv 2025,,,,,,,,,,,
ACL26-O-0041,ACL26-W-515C64813781,7b3ba9deefe99172748582f6025d995ccc2a6f86,146,Latest Research Papers,,aiXiv: A Next-Generation Open Access Ecosystem for Scientific Discovery Generated by AI Scientists,https://arxiv.org/abs/2508.15126,arxiv:2508.15126,2025-08-20,arXiv 2025,,,,,,,,,,,
ACL26-O-0042,ACL26-W-878216C807F2,7b3ba9deefe99172748582f6025d995ccc2a6f86,148,Latest Research Papers,,MemoCue: Empowering LLM-Based Agents for Human Memory Recall via Strategy-Guided Querying,https://arxiv.org/abs/2507.23633,arxiv:2507.23633,2025-07-31,arXiv 2025,,,,,,,,,,,
ACL26-O-0043,ACL26-W-721A73E61171,7b3ba9deefe99172748582f6025d995ccc2a6f86,150,Latest Research Papers,,Magentic-UI: Towards Human-in-the-loop Agentic Systems,https://www.arxiv.org/abs/2507.22358,arxiv:2507.22358,2025-07-30,arXiv 2025,,,,,,,,,,,
ACL26-O-0044,ACL26-W-A74FB31E13AF,7b3ba9deefe99172748582f6025d995ccc2a6f86,152,Latest Research Papers,,UserBench: An Interactive Gym Environment for User-Centric Agents,https://arxiv.org/abs/2507.22034,arxiv:2507.22034,2025-07-29,arXiv 2025,,,,,,,,,,,
ACL26-O-0045,ACL26-W-70E3FF79FA10,7b3ba9deefe99172748582f6025d995ccc2a6f86,154,Latest Research Papers,,GenoMAS: A Multi-Agent Framework for Scientific Discovery via Code-Driven Gene Expression Analysis,https://arxiv.org/abs/2507.21035,arxiv:2507.21035,2025-07-28,arXiv 2025,,,,,,,,,,,
